,title,link
92,Gerolamo Cardano,https://en.wikipedia.org/wiki/Gerolamo_Cardano
93,Blaise Pascal,https://en.wikipedia.org/wiki/Blaise_Pascal
94,Pierre de Fermat,https://en.wikipedia.org/wiki/Pierre_de_Fermat
95,Games of chance,https://en.wikipedia.org/wiki/Games_of_chance
96,Medieval Roman law,https://en.wikipedia.org/wiki/Medieval_Roman_law
97,Juan Caramuel,https://en.wikipedia.org/wiki/Juan_Caramuel
98,Method of least squares,https://en.wikipedia.org/wiki/Method_of_least_squares
99,Adrien-Marie Legendre,https://en.wikipedia.org/wiki/Adrien-Marie_Legendre
100,Karl Pearson,https://en.wikipedia.org/wiki/Karl_Pearson
101,Francis Galton,https://en.wikipedia.org/wiki/Francis_Galton
102,Karl Pearson,https://en.wikipedia.org/wiki/Karl_Pearson
103,Standard deviation,https://en.wikipedia.org/wiki/Standard_deviation
104,Correlation,https://en.wikipedia.org/wiki/Correlation
105,Regression analysis,https://en.wikipedia.org/wiki/Regression_analysis
106,Pearson product-moment correlation coefficient,https://en.wikipedia.org/wiki/Pearson_product-moment_correlation_coefficient
107,Method of moments (statistics),https://en.wikipedia.org/wiki/Method_of_moments_(statistics)
108,Pearson distribution,https://en.wikipedia.org/wiki/Pearson_distribution
109,Biometrika,https://en.wikipedia.org/wiki/Biometrika
110,Biostatistics,https://en.wikipedia.org/wiki/Biostatistics
111,University College London,https://en.wikipedia.org/wiki/University_College_London
112,Ronald Fisher,https://en.wikipedia.org/wiki/Ronald_Fisher
113,Null hypothesis,https://en.wikipedia.org/wiki/Null_hypothesis
114,Lady tasting tea,https://en.wikipedia.org/wiki/Lady_tasting_tea
115,William Sealy Gosset,https://en.wikipedia.org/wiki/William_Sealy_Gosset
116,Ronald Fisher,https://en.wikipedia.org/wiki/Ronald_Fisher
117,The Correlation between Relatives on the Supposition of Mendelian Inheritance,https://en.wikipedia.org/wiki/The_Correlation_between_Relatives_on_the_Supposition_of_Mendelian_Inheritance
118,Variance,https://en.wikipedia.org/wiki/Variance
119,Statistical Methods for Research Workers,https://en.wikipedia.org/wiki/Statistical_Methods_for_Research_Workers
120,The Design of Experiments,https://en.wikipedia.org/wiki/The_Design_of_Experiments
121,Design of experiments,https://en.wikipedia.org/wiki/Design_of_experiments
122,Sufficiency (statistics),https://en.wikipedia.org/wiki/Sufficiency_(statistics)
123,Ancillary statistic,https://en.wikipedia.org/wiki/Ancillary_statistic
124,Linear discriminant analysis,https://en.wikipedia.org/wiki/Linear_discriminant_analysis
125,Fisher information,https://en.wikipedia.org/wiki/Fisher_information
126,The Genetical Theory of Natural Selection,https://en.wikipedia.org/wiki/The_Genetical_Theory_of_Natural_Selection
127,Biology,https://en.wikipedia.org/wiki/Biology
128,A. W. F. Edwards,https://en.wikipedia.org/wiki/A._W._F._Edwards
129,Evolutionary biology,https://en.wikipedia.org/wiki/Evolutionary_biology
130,Fisherian runaway,https://en.wikipedia.org/wiki/Fisherian_runaway
131,Sexual selection,https://en.wikipedia.org/wiki/Sexual_selection
132,Evolution,https://en.wikipedia.org/wiki/Evolution
133,Egon Pearson,https://en.wikipedia.org/wiki/Egon_Pearson
134,Jerzy Neyman,https://en.wikipedia.org/wiki/Jerzy_Neyman
135,Type I and type II errors,https://en.wikipedia.org/wiki/Type_I_and_type_II_errors
136,Power of a test,https://en.wikipedia.org/wiki/Power_of_a_test
137,Confidence interval,https://en.wikipedia.org/wiki/Confidence_interval
138,Computer,https://en.wikipedia.org/wiki/Computer
139,Big data,https://en.wikipedia.org/wiki/Big_data
140,Statistical data,https://en.wikipedia.org/wiki/Statistical_data
141,Design of experiments,https://en.wikipedia.org/wiki/Design_of_experiments
142,Survey sampling,https://en.wikipedia.org/wiki/Survey_sampling
143,Statistical model,https://en.wikipedia.org/wiki/Statistical_model
144,Sampling (statistics),https://en.wikipedia.org/wiki/Sampling_(statistics)
145,Mathematics,https://en.wikipedia.org/wiki/Mathematics
146,Probability theory,https://en.wikipedia.org/wiki/Probability_theory
147,Statistical theory,https://en.wikipedia.org/wiki/Statistical_theory
148,Sampling distribution,https://en.wikipedia.org/wiki/Sampling_distribution
149,Sample statistic,https://en.wikipedia.org/wiki/Sample_statistic
150,Statistical decision theory,https://en.wikipedia.org/wiki/Statistical_decision_theory
151,Deductive reasoning,https://en.wikipedia.org/wiki/Deductive_reasoning
152,Inductive reasoning,https://en.wikipedia.org/wiki/Inductive_reasoning
153,Causality,https://en.wikipedia.org/wiki/Causality
154,Dependent and independent variables,https://en.wikipedia.org/wiki/Dependent_and_independent_variables
155,Experiment,https://en.wikipedia.org/wiki/Experiment
156,Observational study,https://en.wikipedia.org/wiki/Observational_study
157,Scientific control,https://en.wikipedia.org/wiki/Scientific_control
158,Randomized controlled trial,https://en.wikipedia.org/wiki/Randomized_controlled_trial
159,Natural experiment,https://en.wikipedia.org/wiki/Natural_experiment
160,Observational study,https://en.wikipedia.org/wiki/Observational_study
161,Difference in differences,https://en.wikipedia.org/wiki/Difference_in_differences
162,Instrumental variable,https://en.wikipedia.org/wiki/Instrumental_variable
163,Consistent estimator,https://en.wikipedia.org/wiki/Consistent_estimator
164,Average treatment effect,https://en.wikipedia.org/wiki/Average_treatment_effect
